system,run,capacity,attack_label,tampering_level,n_stegos,n_records,n_errors,bit-wise_accuracy,perfect_run_rate,perfect_stego_rate
topicqa,topicqa_cap6,6,global_backtranslation,1.0,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,global_paraphrase,1.0,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,local_backtranslation,0.2,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,local_backtranslation,0.5,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,local_backtranslation,1.0,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,local_paraphrase,0.2,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,local_paraphrase,0.5,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,local_paraphrase,1.0,30,90,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,no_attack,0.0,30,30,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,synonym,0.2,30,30,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,synonym,0.5,30,30,0,1.0,1.0,1.0
topicqa,topicqa_cap6,6,synonym,1.0,30,30,0,1.0,1.0,1.0
topicqa,topicqa_cap8,8,global_backtranslation,1.0,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,global_paraphrase,1.0,30,90,0,0.9944444444444444,0.9555555555555556,0.9333333333333333
topicqa,topicqa_cap8,8,local_backtranslation,0.2,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,local_backtranslation,0.5,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,local_backtranslation,1.0,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,local_paraphrase,0.2,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,local_paraphrase,0.5,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,local_paraphrase,1.0,30,90,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,no_attack,0.0,30,30,0,0.9958333333333333,0.9666666666666667,0.9666666666666667
topicqa,topicqa_cap8,8,synonym,0.2,30,30,0,1.0,1.0,1.0
topicqa,topicqa_cap8,8,synonym,0.5,30,30,0,1.0,1.0,1.0
topicqa,topicqa_cap8,8,synonym,1.0,30,30,0,0.9916666666666667,0.9333333333333333,0.9333333333333333
topicqa,topicqa_cap10,10,global_backtranslation,1.0,30,90,0,0.99,0.9,0.9
topicqa,topicqa_cap10,10,global_paraphrase,1.0,30,90,0,0.9633333333333333,0.6444444444444445,0.5666666666666667
topicqa,topicqa_cap10,10,local_backtranslation,0.2,30,90,0,0.9866666666666667,0.8666666666666667,0.8666666666666667
topicqa,topicqa_cap10,10,local_backtranslation,0.5,30,90,0,0.9877777777777778,0.8777777777777778,0.8666666666666667
topicqa,topicqa_cap10,10,local_backtranslation,1.0,30,90,0,0.9877777777777778,0.8777777777777778,0.8666666666666667
topicqa,topicqa_cap10,10,local_paraphrase,0.2,30,90,0,0.9844444444444443,0.8444444444444444,0.8
topicqa,topicqa_cap10,10,local_paraphrase,0.5,30,90,0,0.9822222222222222,0.8222222222222222,0.7333333333333333
topicqa,topicqa_cap10,10,local_paraphrase,1.0,30,90,0,0.9777777777777777,0.7777777777777778,0.7666666666666667
topicqa,topicqa_cap10,10,no_attack,0.0,30,30,0,0.99,0.9,0.9
topicqa,topicqa_cap10,10,synonym,0.2,30,30,0,0.9833333333333333,0.8333333333333334,0.8333333333333334
topicqa,topicqa_cap10,10,synonym,0.5,30,30,1,0.9466666666666667,0.7666666666666667,0.7666666666666667
topicqa,topicqa_cap10,10,synonym,1.0,30,30,1,0.9366666666666668,0.7,0.7
story,story_cap14,14,global_backtranslation,1.0,30,90,0,0.9896825396825396,0.8666666666666667,0.8333333333333334
story,story_cap14,14,global_paraphrase,1.0,30,90,0,0.9746031746031746,0.7777777777777778,0.6333333333333333
story,story_cap14,14,local_backtranslation,0.2,30,90,0,0.9928571428571428,0.9111111111111111,0.8666666666666667
story,story_cap14,14,local_backtranslation,0.5,30,90,0,0.9936507936507937,0.9111111111111111,0.8666666666666667
story,story_cap14,14,local_backtranslation,1.0,30,90,0,0.9920634920634921,0.9,0.8666666666666667
